phone_number,call_timestamp,call_duration_sec,call_frequency_24h,is_international,country_code,number_length,is_toll_free,is_premium_rate,sequential_digits,hour_of_day,is_weekend,country_mismatch,repeated_calls_same_number,label
+19002398153,2024-02-24 17:30:22,85,5,0,+1,11,0,1,0,17,1,0,0,legitimate
+17133515156,2024-03-25 13:39:42,610,1,0,+1,11,0,0,0,13,0,0,2,premium_rate
+14703596695,2024-08-25 08:00:49,3,5,0,+1,11,0,0,0,8,1,0,2,voip_fraud
+10123456789,2024-05-24 03:50:54,3,9,0,+1,11,0,0,1,3,0,1,16,spoofed
+14702153504,2024-10-02 22:35:04,6,16,0,+1,11,0,0,0,22,0,0,1,voip_fraud
+18001038498,2024-06-09 10:38:39,420,5,0,+1,11,1,0,0,10,1,0,1,legitimate
+15035882674,2024-05-13 14:17:11,499,1,0,+1,11,0,0,0,14,0,0,1,legitimate
+44302740212,2024-11-27 05:56:59,5,17,1,+44,11,0,0,0,5,0,1,16,spam
+13463909309,2024-01-07 04:27:01,5,4,0,+1,11,0,0,0,4,1,0,0,voip_fraud
+17372941757,2024-12-17 20:51:31,8,15,0,+1,11,0,0,0,20,0,0,0,voip_fraud
+13465007349,2024-07-25 13:28:52,0,8,0,+1,11,0,0,0,13,0,0,0,voip_fraud
+17264073289,2024-05-02 12:03:09,6,6,0,+1,11,0,0,0,12,0,0,2,voip_fraud
+15033653172,2024-11-25 22:25:53,8,33,0,+1,11,0,0,0,22,0,0,0,robocall
+12009994790,2024-10-20 16:18:37,4,7,0,+1,11,0,0,0,16,1,1,2,spoofed
+13126525416,2024-08-31 02:05:08,6,31,0,+1,11,0,0,0,2,1,0,9,robocall
+16178968505,2024-04-30 07:36:15,315,4,0,+1,11,0,0,0,7,0,0,1,legitimate
+15038191105,2024-12-28 15:42:30,6,18,0,+1,11,0,0,0,15,1,0,0,robocall
+18669224024,2024-07-11 12:20:59,337,2,0,+1,11,1,0,0,12,0,0,0,legitimate
+13126542438,2024-03-13 04:53:24,3,30,0,+1,11,0,0,0,4,0,0,14,robocall
+7867128966,2024-06-18 22:43:20,10,30,1,+78,10,0,0,0,22,0,1,1,spam
+18009913431,2024-06-27 08:20:04,5,10,0,+1,11,1,0,0,8,0,0,4,robocall
+4460493422380,2024-12-22 00:51:18,14,17,1,+44,13,0,0,0,0,1,1,18,spam
+12370000000,2024-08-26 23:38:32,4,4,0,+1,11,0,0,1,23,0,1,10,spoofed
+18772901076,2024-09-09 14:13:52,3,44,0,+1,11,1,0,0,14,0,0,4,robocall
+915329953,2024-03-25 21:46:30,7,17,1,+91,9,0,0,0,21,0,1,10,spam
+18661213636,2024-06-22 08:40:43,7,13,0,+1,11,1,0,0,8,1,0,5,robocall
+17622070022,2024-11-30 04:16:45,7,17,0,+1,11,0,0,0,4,1,0,1,voip_fraud
+18775729426,2024-11-02 11:54:41,3,30,0,+1,11,1,0,0,11,1,0,12,robocall
+12009992403,2024-06-22 00:52:55,2,9,0,+1,11,0,0,0,0,1,1,0,spoofed
+15033248619,2024-10-30 07:01:50,415,3,0,+1,11,0,0,0,7,0,0,2,legitimate
+17138950600,2024-01-12 02:38:33,299,2,0,+1,11,0,0,0,2,0,0,0,legitimate
+13053738943,2024-04-12 01:51:40,417,2,0,+1,11,0,0,0,1,0,0,1,legitimate
+14042223125,2024-09-20 18:02:42,1,13,0,+1,11,0,0,0,18,0,0,0,robocall
+11234567890,2024-09-04 20:39:40,4,5,0,+1,11,0,0,1,20,0,1,6,spoofed
+17027568621,2024-06-21 12:42:34,640,2,0,+1,11,0,0,0,12,0,0,2,premium_rate
+18008229452,2024-01-07 16:32:18,530,1,0,+1,11,1,0,0,16,1,0,1,legitimate
+17480000000,2024-06-19 11:03:15,2,7,0,+1,11,0,0,1,11,0,1,8,spoofed
+14155891901,2024-04-18 08:42:11,125,1,0,+1,11,0,0,0,8,0,0,0,legitimate
+12023705738,2024-02-19 06:58:42,4,30,0,+1,11,0,0,0,6,0,0,0,robocall
+18771537117,2024-05-20 17:25:36,229,3,0,+1,11,1,0,0,17,0,0,1,legitimate
