phone_number,call_timestamp,call_duration_sec,call_frequency_24h,is_international,country_code,number_length,is_toll_free,is_premium_rate,sequential_digits,hour_of_day,is_weekend,country_mismatch,repeated_calls_same_number,label
+38055201015444,2024-10-08 09:31:38,4,3,1,+38,14,0,0,0,9,0,1,14,spam
+15038304611,2024-07-29 10:55:53,95,2,0,+1,11,0,0,0,10,0,0,1,legitimate
+19769305419,2024-01-27 10:44:26,419,1,0,+1,11,0,1,0,10,1,0,0,legitimate
+13121810848,2024-11-06 06:15:37,123,2,0,+1,11,0,0,0,6,0,0,1,legitimate
+14049661473,2024-03-14 17:47:31,169,2,0,+1,11,0,0,0,17,0,0,2,legitimate
+15036944909,2024-12-30 19:22:53,7,37,0,+1,11,0,0,0,19,0,0,3,robocall
+15035776554,2024-10-18 08:06:48,152,4,0,+1,11,0,0,0,8,0,0,0,legitimate
+17139584989,2024-08-13 13:42:30,364,3,0,+1,11,0,0,0,13,0,0,2,legitimate
+17135839523,2024-10-27 07:30:38,7,44,0,+1,11,0,0,0,7,1,0,1,robocall
+13121419610,2024-05-20 07:14:08,134,5,0,+1,11,0,0,0,7,0,0,0,legitimate
+3805992507633,2024-08-31 22:51:14,8,12,1,+38,13,0,0,0,22,1,1,6,spam
+663102426459,2024-08-07 07:36:17,8,19,1,+66,12,0,0,0,7,0,1,9,spam
+12028859053,2024-09-01 10:41:41,444,4,0,+1,11,0,0,0,10,1,0,0,legitimate
+17640000000,2024-03-25 21:39:31,1,6,0,+1,11,0,0,1,21,0,1,6,spoofed
+14707836851,2024-08-14 14:34:23,1,10,0,+1,11,0,0,0,14,0,0,1,voip_fraud
+18721442717,2024-08-28 21:10:24,7,11,0,+1,11,0,0,0,21,0,0,2,voip_fraud
+18667430165,2024-05-29 18:29:05,449,4,0,+1,11,1,0,0,18,0,0,2,legitimate
+19764164668,2024-03-14 06:20:41,7,19,0,+1,11,0,1,0,6,0,0,15,robocall
+13125039498,2024-10-13 12:24:49,424,4,0,+1,11,0,0,0,12,1,0,1,legitimate
+13128366515,2024-08-08 06:47:20,0,31,0,+1,11,0,0,0,6,0,0,9,robocall
+12126900247,2024-10-17 18:09:36,222,4,0,+1,11,0,0,0,18,0,0,2,legitimate
+9122198848,2024-02-21 06:05:08,2,14,1,+91,10,0,0,0,6,0,1,19,spam
+13121921287,2024-06-02 21:08:44,294,4,0,+1,11,0,0,0,21,1,0,0,legitimate
+18007337385,2024-10-19 12:20:36,130,4,0,+1,11,1,0,0,12,1,0,0,legitimate
+746357188683,2024-06-11 08:30:14,15,17,1,+74,12,0,0,0,8,0,1,9,spam
+18002373845,2024-03-28 02:03:05,8,23,0,+1,11,1,0,0,2,0,0,4,robocall
+16176777282,2024-09-11 17:41:45,55,2,0,+1,11,0,0,0,17,0,0,1,legitimate
+10123456789,2024-08-09 04:43:18,5,5,0,+1,11,0,0,1,4,0,1,8,spoofed
+18004018500,2024-06-09 17:00:43,38,1,0,+1,11,1,0,0,17,1,0,0,legitimate
+23476144433736,2024-11-25 20:02:39,15,4,1,+23,14,0,0,0,20,0,1,16,spam
+12029891124,2024-04-12 15:45:00,450,3,0,+1,11,0,0,0,15,0,0,1,premium_rate
+913646890,2024-07-16 22:34:57,10,17,1,+91,9,0,0,0,22,0,1,16,spam
+15032969909,2024-11-23 09:23:39,256,2,0,+1,11,0,0,0,9,1,0,0,legitimate
+17629111044,2024-04-15 08:03:22,3,19,0,+1,11,0,0,0,8,0,0,1,voip_fraud
+18668115666,2024-04-09 07:17:49,0,12,0,+1,11,1,0,0,7,0,0,8,robocall
+12027979426,2024-10-13 16:31:15,0,6,0,+1,11,0,0,0,16,1,0,2,voip_fraud
+918196138,2024-11-26 14:54:55,7,23,1,+91,9,0,0,0,14,0,1,19,spam
+19008115851,2024-02-15 13:16:22,264,3,0,+1,11,0,1,0,13,0,0,1,legitimate
+18777594058,2024-12-28 13:38:48,7,47,0,+1,11,1,0,0,13,1,0,8,robocall
+12021813161,2024-06-09 03:15:15,317,4,0,+1,11,0,0,0,3,1,0,0,legitimate
+12027116607,2024-02-24 16:46:04,3,29,0,+1,11,0,0,0,16,1,0,18,robocall
+10123456789,2024-06-05 06:28:17,2,6,0,+1,11,0,0,1,6,0,1,14,spoofed
+13052086708,2024-09-27 16:17:37,459,5,0,+1,11,0,0,0,16,0,0,0,legitimate
+13123815615,2024-10-25 23:28:04,8,39,0,+1,11,0,0,0,23,0,0,8,robocall
+11234567890,2024-09-26 14:40:25,0,10,0,+1,11,0,0,1,14,0,1,14,spoofed
+13468188393,2024-04-23 15:24:38,2,10,0,+1,11,0,0,0,15,0,0,1,voip_fraud
+12127520630,2024-07-23 03:04:44,2,31,0,+1,11,0,0,0,3,0,0,4,robocall
+916951522,2024-04-15 08:20:50,14,4,1,+91,9,0,0,0,8,0,1,17,spam
+18667288379,2024-11-25 09:13:25,174,4,0,+1,11,1,0,0,9,0,0,0,legitimate
+75122072159,2024-12-13 17:40:59,2,13,1,+75,11,0,0,0,17,0,1,12,spam
+12025494466,2024-12-05 17:21:32,132,5,0,+1,11,0,0,0,17,0,0,2,legitimate
+18773689700,2024-01-21 07:32:23,587,5,0,+1,11,1,0,0,7,1,0,1,legitimate
+13129733844,2024-12-03 23:19:01,349,2,0,+1,11,0,0,0,23,0,0,1,legitimate
+17021318873,2024-05-05 21:59:50,5,10,0,+1,11,0,0,0,21,1,0,16,robocall
+19765676835,2024-12-01 06:46:08,567,1,0,+1,11,0,1,0,6,1,0,0,legitimate
+12025131612,2024-03-22 13:54:20,8,22,0,+1,11,0,0,0,13,0,0,10,robocall
+10123456789,2024-04-10 06:08:09,3,7,0,+1,11,0,0,1,6,0,1,0,spoofed
+13057100484,2024-04-02 16:24:07,249,2,0,+1,11,0,0,0,16,0,0,0,legitimate
+12122304892,2024-07-11 06:18:32,294,1,0,+1,11,0,0,0,6,0,0,0,premium_rate
+13468891797,2024-09-22 15:03:12,3,6,0,+1,11,0,0,0,15,1,0,0,voip_fraud
+17862113837,2024-01-04 15:41:09,9,15,0,+1,11,0,0,0,15,0,0,1,voip_fraud
+19765446344,2024-06-22 19:44:25,112,3,0,+1,11,0,1,0,19,1,0,2,legitimate
+14047151238,2024-11-17 09:53:43,472,2,0,+1,11,0,0,0,9,1,0,2,legitimate
+14046000554,2024-08-12 12:03:43,8,39,0,+1,11,0,0,0,12,0,0,5,robocall
+17269272832,2024-02-12 13:04:29,2,16,0,+1,11,0,0,0,13,0,0,1,voip_fraud
+14043496440,2024-09-05 16:33:32,600,1,0,+1,11,0,0,0,16,0,0,2,legitimate
+17137201405,2024-04-01 06:38:03,6,8,0,+1,11,0,0,0,6,0,0,11,robocall
+14152284063,2024-06-16 11:02:09,133,4,0,+1,11,0,0,0,11,1,0,2,legitimate
+13464523412,2024-03-07 01:38:39,10,14,0,+1,11,0,0,0,1,0,0,1,voip_fraud
+85551962452405,2024-07-04 16:36:29,4,10,1,+85,14,0,0,0,16,0,1,11,spam
+2340853809,2024-05-19 05:01:49,9,27,1,+23,10,0,0,0,5,1,1,19,spam
+16698379087,2024-06-02 15:05:31,7,5,0,+1,11,0,0,0,15,1,0,1,voip_fraud
+17023040002,2024-04-08 19:01:34,53,5,0,+1,11,0,0,0,19,0,0,2,legitimate
+17024333354,2024-12-18 16:26:11,33,3,0,+1,11,0,0,0,16,0,0,1,legitimate
+13126173311,2024-07-22 15:31:57,301,1,0,+1,11,0,0,0,15,0,0,2,legitimate
+6682581738681,2024-07-12 11:11:47,4,10,1,+66,13,0,0,0,11,0,1,10,spam
+18774048843,2024-05-29 20:02:56,461,3,0,+1,11,1,0,0,20,0,0,2,legitimate
+17023589728,2024-10-14 11:47:33,0,17,0,+1,11,0,0,0,11,0,0,7,robocall
+18662248902,2024-05-07 06:10:21,348,1,0,+1,11,1,0,0,6,0,0,2,legitimate
+18004586506,2024-08-26 18:50:20,268,5,0,+1,11,1,0,0,18,0,0,0,legitimate
+13961111111,2024-09-16 08:37:39,2,1,0,+1,11,0,0,1,8,0,1,16,spoofed
+17027417287,2024-04-08 06:47:47,31,5,0,+1,11,0,0,0,6,0,0,0,legitimate
+17022022699,2024-10-12 18:56:47,209,4,0,+1,11,0,0,0,18,1,0,2,legitimate
+18669421543,2024-07-03 04:53:23,3,9,0,+1,11,1,0,0,4,0,0,15,robocall
+12009991333,2024-10-01 15:40:37,1,8,0,+1,11,0,0,0,15,0,1,10,spoofed
+16172604667,2024-06-16 06:38:33,224,5,0,+1,11,0,0,0,6,1,0,0,legitimate
+8559270548,2024-08-22 09:33:30,2,13,1,+85,10,0,0,0,9,0,1,12,spam
+12023708178,2024-11-15 03:07:58,6,22,0,+1,11,0,0,0,3,0,0,15,robocall
+18888695935,2024-07-21 05:29:00,181,2,0,+1,11,1,0,0,5,1,0,0,legitimate
+13059046308,2024-07-14 13:35:03,562,3,0,+1,11,0,0,0,13,1,0,1,legitimate
+13058320472,2024-02-09 18:45:55,58,2,0,+1,11,0,0,0,18,0,0,2,legitimate
+17132994080,2024-06-29 22:36:28,540,2,0,+1,11,0,0,0,22,1,0,2,legitimate
+13053451220,2024-04-24 01:37:21,542,4,0,+1,11,0,0,0,1,0,0,0,legitimate
+17624133756,2024-03-14 17:07:36,4,3,0,+1,11,0,0,0,17,0,0,0,voip_fraud
+18005516136,2024-04-09 18:18:58,279,3,0,+1,11,1,0,0,18,0,0,0,legitimate
+19002906975,2024-01-20 13:31:10,567,4,0,+1,11,0,1,0,13,1,0,0,legitimate
+9177863414487,2024-12-06 15:28:19,9,16,1,+91,13,0,0,0,15,0,1,6,spam
+12025703878,2024-10-05 18:42:02,213,3,0,+1,11,0,0,0,18,1,0,0,legitimate
+19001311186,2024-06-08 20:51:42,1,26,0,+1,11,0,1,0,20,1,0,15,robocall
+626605577,2024-04-07 23:36:02,6,14,1,+62,9,0,0,0,23,1,1,10,spam
+18009301670,2024-12-19 02:51:41,313,3,0,+1,11,1,0,0,2,0,0,1,legitimate
